Especie;Categoria_Ameaca;Legislacao
Aniba rosaeodora;EN;Resolucao COEMA/PA N. 54/2007
Aspidosperma album;VU;Resolucao COEMA/PA N. 54/2007
Aspidosperma desmanthum;VU;Resolucao COEMA/PA N. 54/2007
Aspidosperma sandwithianum;VU;Resolucao COEMA/PA N. 54/2007
Aspilia paraensis;VU;Resolucao COEMA/PA N. 54/2007
Axonopus carajasensis;VU;Resolucao COEMA/PA N. 54/2007
Bertholletia excelsa;VU;Resolucao COEMA/PA N. 54/2007
Cedrela odorata;VU;Resolucao COEMA/PA N. 54/2007
Centrolobium paraensis;EN;Resolucao COEMA/PA N. 54/2007
Centrosema carajasense;VU;Resolucao COEMA/PA N. 54/2007
Dicypellium caryophyllaceum;VU;Resolucao COEMA/PA N. 54/2007
Erythroxylum nelson-rosae;EN;Resolucao COEMA/PA N. 54/2007
Eschweilera piresii ssp. piresii;VU;Resolucao COEMA/PA N. 54/2007
Eschweilera subcordata;VU;Resolucao COEMA/PA N. 54/2007
Euxylophora paraensis;VU;Resolucao COEMA/PA N. 54/2007
Gustavia erythrocarpa;VU;Resolucao COEMA/PA N. 54/2007
Hymenolobium excelsum;VU;Resolucao COEMA/PA N. 54/2007
Ipomoea carajaensis;EN;Resolucao COEMA/PA N. 54/2007
Ipomoea cavalcantei;EN;Resolucao COEMA/PA N. 54/2007
Jacaranda carajasensis;EN;Resolucao COEMA/PA N. 54/2007
Jacaranda egleri;VU;Resolucao COEMA/PA N. 54/2007
Licania anneae;VU;Resolucao COEMA/PA N. 54/2007
Manilkara excelsa;VU;Resolucao COEMA/PA N. 54/2007
Manilkara huberi;VU;Resolucao COEMA/PA N. 54/2007
Mezilaurus itauba;VU;Resolucao COEMA/PA N. 54/2007
Mimosa acutistipula Bth var. ferrea;VU;Resolucao COEMA/PA N. 54/2007
Mimosa skinneri Benth. var. carajarum;VU;Resolucao COEMA/PA N. 54/2007
Peltogyne maranhensis;VU;Resolucao COEMA/PA N. 54/2007
Pilocarpus microphyllus;EN;Resolucao COEMA/PA N. 54/2007
Pouteria brevensis;VU;Resolucao COEMA/PA N. 54/2007
Pouteria decussata;VU;Resolucao COEMA/PA N. 54/2007
Qualea coerulea;VU;Resolucao COEMA/PA N. 54/2007
Selenipedium isabelianum;VU;Resolucao COEMA/PA N. 54/2007
Selenipedium palmifolium;VU;Resolucao COEMA/PA N. 54/2007
Swietenia macrophylla;VU;Resolucao COEMA/PA N. 54/2007
Tabebuia impetiginosa;VU;Resolucao COEMA/PA N. 54/2007
Handroanthus impetiginosum;VU;Resolucao COEMA/PA N. 54/2007
Aechmea eurycorymbus;CR;Resolucao COEMA/PA N. 54/2007
Banisteriops is cachimbensis;EN;Resolucao COEMA/PA N. 54/2007
Cissus apendiculata;VU;Resolucao COEMA/PA N. 54/2007
Galeandra curvifolia;VU;Resolucao COEMA/PA N. 54/2007
Heteropsis flexuosa;VU;Resolucao COEMA/PA N. 54/2007
Heteropsis spruceana;VU;Resolucao COEMA/PA N. 54/2007
Hypolytrum paraense;VU;Resolucao COEMA/PA N. 54/2007
Jacaranda morii;VU;Resolucao COEMA/PA N. 54/2007
Monogereion carajensis;CR;Resolucao COEMA/PA N. 54/2007
Physocalymma scaberrimum;VU;Resolucao COEMA/PA N. 54/2007
Pilocarpus alatus;EN;Resolucao COEMA/PA N. 54/2007
Pleonotoma bracteata;EN;Resolucao COEMA/PA N. 54/2007
Protium giganteum var. crassifolium;VU;Resolucao COEMA/PA N. 54/2007
Protium heptaphyllu m ssp. Cordatum;VU;Resolucao COEMA/PA N. 54/2007
Smilax longifolia;VU;Resolucao COEMA/PA N. 54/2007
Trichomanes macilentum;VU;Resolucao COEMA/PA N. 54/2007
Ptychopetalum olacoides;VU;Resolucao COEMA/PA N. 54/2007
